,obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID
67240,1.2376651280164454e+18,210.459358869505,31.9796425013764,21.05817,19.81893,18.77352,18.44571,18.17195,4576,301,3,591,2.3880810515419894e+18,QSO,0.1991626,2121,54180,172
98413,1.2376804792713876e+18,11.9217888564191,32.996784217169,22.99158,20.74355,18.84402,18.17802,17.8091,8150,301,5,104,7.737343148977052e+18,GALAXY,0.3297777,6872,56540,578
98555,1.2376786174054239e+18,331.710380793225,0.904190930393061,17.93049,16.59888,16.09425,15.90775,15.82397,7717,301,1,140,1.2442434162718413e+18,STAR,-0.0001150006,1105,52937,451
28520,1.2376712563714952e+18,71.0210575218681,20.6025473717713,17.37423,15.74167,14.97723,14.62196,14.43927,6003,301,2,188,3.01859709764242e+18,STAR,-8.806521e-05,2681,54397,216
22130,1.237679476406223e+18,23.5917742897699,20.3921526753039,26.80688,19.90178,18.3085,17.74992,17.24788,7917,301,1,252,5.773820705029511e+18,GALAXY,0.3371243,5128,55912,749
8909,1.2376623018999155e+18,220.501020002637,46.5300121848831,21.97217,21.94591,21.75099,21.52094,21.06287,3918,301,3,163,9.560252354751914e+18,QSO,1.478208,8491,57488,859
318,1.237680311226401e+18,352.476340225449,32.0836806131764,19.22127,18.89125,18.77551,18.64375,18.57708,8111,301,4,37,8.74383227587424e+18,QSO,1.653339,7766,58395,340
16558,1.2376543916418007e+18,122.757515872618,43.073276051507,23.39366,20.7049,18.92229,18.24139,17.854,2076,301,5,131,6.14842816077523e+17,GALAXY,0.3607493,546,52205,369
1585,1.2376802720372495e+18,335.328053443634,19.7757184805608,23.46386,21.66695,20.1482,19.08251,18.70427,8102,301,3,74,5.656661143047133e+18,GALAXY,0.5314619,5024,55854,509
3263,1.237663788488525e+18,112.869212839618,45.008233008912,24.6219,23.58977,21.93766,20.44395,19.53102,4264,301,4,57,7.175523489449007e+18,STAR,-0.0001622303,6373,56298,594
88517,1.2376619701218836e+18,208.05385634172,5.84123882215314,19.957,17.94611,17.0221,16.58867,16.29353,3841,301,1,288,2.0322840314789496e+18,GALAXY,0.08132421,1805,53875,126
57490,1.2376613607578668e+18,191.359385995444,46.6647713679303,20.4884,20.11983,19.95126,19.87298,19.82168,3699,301,2,51,7.470551597447404e+18,QSO,0.7977904,6635,56370,748
20654,1.23765076293111e+18,188.377996021291,-1.45779454436112,22.47187,20.86122,20.48711,19.84878,19.58638,1231,301,6,128,4.253818985425164e+18,GALAXY,0.1912515,3778,55213,615
68437,1.2376788546977147e+18,323.59233666775,7.51739551184041,22.86301,21.92658,20.82621,19.89282,19.35731,7772,301,3,69,4.6027764922835497e+18,GALAXY,0.7272931,4088,55451,355
51563,1.237665427568e+18,231.950477841549,20.6047601532202,23.81019,21.69319,20.51651,20.13614,20.30498,4646,301,1,249,4.4462706361350446e+18,STAR,-0.0002504889,3949,55650,334
42753,1.2376634792618893e+18,340.493963634574,0.0026895462177219,22.722,21.84415,21.4602,21.29409,21.33501,4192,301,4,225,4.733327280604207e+18,QSO,0.9429323,4204,55470,160
68255,1.2376655703654405e+18,245.772147185681,53.0442273708891,24.57188,23.03424,21.37514,19.84105,18.95824,4679,301,3,93,9.077245155808141e+18,STAR,-1.099823e-05,8062,58251,873
75030,1.2376623373307743e+18,244.338320015818,29.7755254517723,24.42052,21.12784,19.31627,18.66554,18.34626,3926,301,5,123,5.637543657081166e+18,GALAXY,0.3347526,5007,55710,592
5049,1.2376637825999839e+18,30.2049298862429,-1.05559927659678,24.09856,21.37519,19.57437,18.86689,18.40532,4263,301,1,317,4.767150182554163e+18,GALAXY,0.3610314,4234,55478,327
53870,1.23767859809629e+18,13.3043737268854,3.22364737658411,21.6754,21.7264,21.28242,21.53655,20.99418,7712,301,5,418,9.85512570335136e+18,QSO,1.200511,8753,57373,450
32831,1.2376613629062676e+18,194.72985832411,48.1096304683858,17.39743,16.19175,15.63834,15.27667,15.03902,3699,301,6,65,1.640600593535887e+18,GALAXY,0.06945978,1457,53116,598
91900,1.2376655843253955e+18,248.756883508818,55.5457519253399,23.74935,22.26311,21.51138,20.35328,19.5309,4682,301,5,113,9.079273754828496e+18,GALAXY,0.8423151,8064,58255,61
29946,1.237663462605e+18,345.489588626358,0.767138089996175,24.62142,21.43169,19.58939,18.98145,18.61316,4188,301,5,13,7.62381340334123e+17,GALAXY,0.3863735,677,52606,535
54561,1.2376650265160584e+18,185.980174963817,36.2297442381097,22.90181,21.51276,19.79494,19.02467,18.63819,4552,301,6,106,4.464295199288613e+18,GALAXY,0.4320053,3965,55302,371
21077,1.2376593260313316e+18,250.642235233841,35.8941119628841,19.14711,17.78699,17.27323,17.09346,17.02845,3225,301,4,268,2.4477339443392415e+18,STAR,-0.0003911832,2174,53521,100
80138,1.2376487040445317e+18,193.323603670296,-0.331879564462377,18.7499,16.7482,15.96372,15.68902,15.54343,752,301,3,332,3.299763870939484e+17,STAR,5.265658e-05,293,51689,319
15820,1.2376609350184468e+18,136.713904295531,56.7171642612128,18.65347,16.51985,15.509,15.07966,14.71236,3600,301,1,39,5.438259050808873e+17,GALAXY,0.1010471,483,51924,59
57998,1.2376543814392876e+18,133.810731926439,49.1950828474528,20.71848,18.59126,17.52826,17.10307,16.71281,2074,301,2,101,6.204354784154358e+17,GALAXY,0.1199466,551,51993,235
23027,1.2376648804899884e+18,149.629865581012,33.31437667289,19.61205,18.7674,18.45277,18.32469,18.261,4518,301,6,149,6.522409734913677e+18,STAR,0.0007250555,5793,56337,260
84207,1.23766076483797e+18,130.573684308469,30.2333621170876,19.78608,18.19526,17.39613,16.98095,16.68295,3560,301,4,155,1.4289025458661233e+18,GALAXY,0.1002695,1269,52937,493
73588,1.237680502900196e+18,354.360660074515,33.5147751234283,24.6805,22.10705,20.62563,19.33785,19.09898,8156,301,1,203,8.035697003999812e+18,GALAXY,0.5582066,7137,56566,543
13432,1.237678880473482e+18,336.540470791587,-2.33538052833978,24.31265,22.59641,20.82405,19.70478,19.27966,7778,301,3,160,4.931621185509415e+18,GALAXY,0.5497824,4380,55857,653
45618,1.2376663010945928e+18,55.1692388099357,0.408237891861902,21.07386,19.3313,18.24426,17.78387,17.35648,4849,301,4,823,1.3027838843032965e+18,GALAXY,0.1299343,1157,52643,428
39572,1.2376700172728404e+18,46.0302220153462,6.75762774299783,22.24237,20.98119,20.30106,19.9579,19.80689,5714,301,6,179,2.614499625159125e+18,STAR,-0.0005011802,2322,53727,582
48652,1.2376613881371697e+18,196.196367243277,57.8241554675512,22.94869,23.27895,21.45857,20.22781,19.57875,3705,301,5,34,9.23249839538152e+18,GALAXY,0.7349274,8200,58174,433
28117,1.2376650254414643e+18,183.625684200901,35.392611957837,20.73803,20.54595,20.44651,20.15749,20.33219,4552,301,4,93,1.1535114612627495e+19,QSO,1.627058,10245,58161,982
55701,1.2376514968344335e+18,124.533528316802,51.2698455505798,22.21663,21.4058,20.05959,18.99186,18.58194,1402,301,5,140,4.153680963371817e+18,GALAXY,0.5265001,3689,55180,859
78287,1.237662303509873e+18,219.330383042953,48.3544269096372,19.47027,17.76257,16.96505,16.61292,16.34224,3918,301,6,153,1.884881296740608e+18,GALAXY,0.122717,1674,53464,454
58310,1.2376619701057623e+18,171.112281912595,6.09132103406451,23.49438,22.30051,20.41873,19.43418,19.05852,3841,301,1,42,5.459586879434545e+18,GALAXY,0.5370938,4849,55945,357
78978,1.2376583005950446e+18,129.171390519352,5.27353949849897,18.2746,17.65418,17.45769,17.46578,17.38667,2986,301,6,72,1.3365199257909596e+18,GALAXY,0.01043185,1187,52708,279
46497,1.2376613612963103e+18,196.676406689383,46.5413310701178,21.84872,19.89471,18.64423,18.15852,17.83368,3699,301,3,75,8.344169117864189e+18,GALAXY,0.2259774,7411,56776,454
44050,1.2376582061271283e+18,202.91736151417,49.7802611969537,18.9226,18.20259,18.18943,18.11671,17.94447,2964,301,6,398,7.586380750293063e+18,QSO,2.397548,6738,56424,244
72104,1.2376788595415455e+18,351.048526651502,12.536950029515,24.17783,21.27197,19.27655,18.56749,18.06417,7773,301,4,252,6.922107498230209e+18,GALAXY,0.3000177,6148,56209,272
27072,1.2376593313868024e+18,243.238987095378,43.9012509538523,20.97291,18.69353,17.73737,17.27101,16.99122,3226,301,6,66,9.165606304822333e+17,GALAXY,0.1415468,814,52443,284
36669,1.2376640929012127e+18,134.623975243771,27.736328795381,22.2445,21.91682,21.37011,20.70297,20.32542,4335,301,3,162,1.0818867998863151e+19,GALAXY,0.7477244,9609,58136,348
90401,1.237661150842782e+18,199.535463405635,48.6594201942995,24.03308,21.10593,19.41091,18.6654,18.30078,3650,301,3,73,7.592091613033421e+18,GALAXY,0.4443344,6743,56385,540
31343,1.237650804270826e+18,159.077671911898,-2.47573179919639,23.21345,21.85958,20.18916,19.34538,18.94629,1241,301,3,138,4.261531510744832e+18,GALAXY,0.4701818,3785,55273,1
10329,1.2376634626065047e+18,349.013622019677,0.715113130142463,22.61319,21.96383,20.26895,19.27576,18.83333,4188,301,5,36,4.740190706626484e+18,GALAXY,0.5468743,4210,55444,553
16736,1.2376719392671665e+18,255.672618512071,63.3987043132291,18.69763,17.32924,16.67407,16.29768,16.01952,6162,301,2,125,3.929715315856118e+17,GALAXY,0.07994121,349,51699,118
30998,1.2376786222399493e+18,28.8745597437736,4.01848896456335,23.89699,22.74049,22.56184,21.68891,21.94682,7718,301,2,181,1.0614122440996182e+19,GALAXY,0.7974931,9427,58130,960
73349,1.2376648778049126e+18,148.801901476848,30.6906059380841,18.35094,17.21181,16.81801,16.56588,16.44044,4518,301,1,138,2.1956013581349947e+18,GALAXY,0.05181575,1950,53436,351
94998,1.2376805050407987e+18,335.467531107545,32.1195519535604,21.66862,21.31803,20.78284,20.59278,20.34546,8156,301,5,98,8.679823094721041e+18,QSO,2.313173,7709,57666,948
90960,1.237665128017691e+18,213.652700577558,31.3127671992591,20.55017,18.85238,17.61954,17.12551,16.76318,4576,301,3,610,2.39714762563259e+18,GALAXY,0.1844339,2129,54252,388
62835,1.237650761322792e+18,193.740762893062,-2.86331885388791,23.44303,20.9259,19.11927,18.45186,17.99936,1231,301,3,163,4.2717764846776714e+18,GALAXY,0.4312324,3794,55241,408
25662,1.2376593260186176e+18,219.001039071505,55.458989800517,21.31914,21.178,21.22939,20.88135,20.69456,3225,301,4,74,9.456604423214354e+18,QSO,1.857182,8399,57843,622
46579,1.2376654415189115e+18,203.044477585273,28.3891142474381,16.48647,15.11733,14.46602,14.1145,13.83507,4649,301,3,131,2.2270792771473513e+18,GALAXY,0.03026669,1978,53473,179
58623,1.2376551244783946e+18,198.193046854268,4.04793423667071,20.20357,18.66549,17.61186,17.1152,16.71034,2247,301,2,250,9.570287039367352e+17,GALAXY,0.1800283,850,52338,50
48212,1.2376546026417032e+18,160.387089348842,5.40983423361994,22.69637,20.22276,18.48677,17.85652,17.46765,2125,301,6,278,6.508933306992824e+17,GALAXY,0.3630413,578,52339,448
97901,1.237678602383525e+18,10.8857083536883,18.1461624139326,24.02553,23.63284,22.04414,20.99582,19.92835,7713,301,5,300,8.577222978923944e+18,GALAXY,0.718879,7618,56898,427
70012,1.2376637868841375e+18,125.972236097786,56.7067314560117,22.23708,21.43866,20.98759,21.00141,20.79515,4264,301,1,152,8.303723586075778e+18,GALAXY,0.356247,7375,56981,770
38903,1.2376623024390144e+18,227.046711053092,44.350503980756,18.82528,17.34269,16.74439,16.49643,16.34745,3918,301,4,197,3.8168469466483016e+18,STAR,-0.0001130087,3390,54945,168
30739,1.237663462606374e+18,348.730767292852,0.764465297455812,22.98767,22.82746,22.13246,21.90835,23.96936,4188,301,5,34,9.86645699423557e+18,GALAXY,0.7572959,8763,57309,713
52996,1.2376788466487795e+18,332.002458761352,8.54712303872751,24.78589,21.89645,21.47065,21.33179,21.04738,7770,301,4,132,5.706214755959855e+18,QSO,1.043893,5068,55749,560
2490,1.237657629528753e+18,183.254048321685,52.6904519188232,23.73064,22.57203,21.17603,19.86416,19.11267,2830,301,4,413,7.523494457049898e+18,GALAXY,0.6994455,6682,56390,841
51402,1.2376785980787924e+18,333.284675758378,2.93175467283811,22.23498,21.77275,21.65917,21.14102,20.91153,7712,301,5,151,1.276891619705306e+19,QSO,1.655592,11341,58428,310
38354,1.2376651274837036e+18,220.698967874832,28.7739583902281,19.49165,17.52615,16.57515,16.16443,15.83047,4576,301,2,654,2.410638899996027e+18,GALAXY,0.1073542,2141,53764,317
1511,1.23765037047441e+18,162.753790149691,-2.38287844033006,21.29851,20.62985,20.5854,20.67089,20.64744,1140,301,3,66,4.24700064001716e+18,GALAXY,0.02195251,3772,55277,386
46138,1.2376512504161897e+18,143.89320522715,57.5009435879701,23.2461,22.08284,20.52136,19.64634,19.12391,1345,301,2,224,6.434659641414932e+18,GALAXY,0.5019948,5715,56657,515
84030,1.237678619013743e+18,326.321161451707,2.1425563458989,21.13421,20.8303,20.70939,20.75696,20.30217,7717,301,4,105,1.0317945343128656e+19,QSO,0.7376223,9164,58045,722
17533,1.237661976552473e+18,197.166390493426,8.0074540839657,23.31202,22.74529,21.13175,19.76169,19.19967,3842,301,5,107,6.105919396877982e+18,GALAXY,0.7701013,5423,55958,597
63850,1.2376613623781783e+18,221.832704112529,41.7418169210678,18.82369,17.07853,16.33372,16.03359,15.87293,3699,301,5,199,3.8349116482341847e+18,STAR,6.961786e-06,3406,54970,351
70696,1.237662336249955e+18,227.768071561152,38.3813458727712,24.77506,22.34974,20.47472,19.33918,18.76622,3926,301,3,15,5.817569725526596e+18,GALAXY,0.6126605,5167,56066,163
50051,1.237660958107304e+18,122.431291725768,25.0724982986943,18.98794,17.68647,17.01717,16.61695,16.36001,3605,301,4,91,1.424417359166204e+18,GALAXY,0.09842295,1265,52705,560
33695,1.2376619685023583e+18,180.259101629515,43.4156550716555,21.47133,21.46531,20.91924,21.09374,21.1733,3840,301,6,152,9.4249263927502e+18,QSO,1.189347,8371,57786,66
44566,1.2376634792619548e+18,340.636415762845,0.206781731649505,22.48322,22.24365,21.65047,21.56478,20.87878,4192,301,4,226,1.030219209024814e+19,QSO,0.9137844,9150,58043,756
29814,1.2376651274695475e+18,183.245078022099,34.2007122352352,23.15094,20.35118,19.13778,18.67345,18.42281,4576,301,2,438,1.1536113244231195e+19,GALAXY,0.2253163,10246,58171,519
13490,1.2376625010778442e+18,235.70658675618,40.7665537360388,22.708,20.53674,18.89148,18.26737,17.88086,3964,301,6,145,5.602673750955022e+18,GALAXY,0.3753282,4976,56046,712
99955,1.2376711661727252e+18,172.281647550456,-8.90906004634182,22.26657,20.7671,20.22759,20.08172,19.98396,5982,301,2,120,3.23811514697072e+18,STAR,-0.0003949004,2876,54581,98
98257,1.2376611503027653e+18,188.792985106075,49.111831792499,24.48856,24.54492,24.14664,22.24576,19.88276,3650,301,2,25,8.348682893359602e+18,QSO,1.765377,7415,57097,491
79040,1.237679255208e+18,33.6823541622766,-3.57721828979426,23.17537,22.64777,21.85538,21.07884,21.01143,7865,301,5,139,9.145870052398224e+18,GALAXY,0.05574124,8123,56931,673
79424,1.2376621955944284e+18,167.088017860163,41.7916543140425,18.69918,17.30197,16.74335,16.53711,16.44809,3893,301,5,86,3.7448621952221594e+18,STAR,-8.15327e-05,3326,54943,433
56694,1.2376609581084183e+18,124.573801501507,26.7197268884817,22.39235,19.7151,17.99396,17.388,16.98562,3605,301,4,108,5.022781145332603e+18,GALAXY,0.3412466,4461,55888,515
47845,1.2376672121280927e+18,154.088152877119,26.7911409796844,25.37297,22.15039,20.69774,19.78898,19.05498,5061,301,5,267,7.284590920359763e+18,GALAXY,0.5639741,6470,56334,67
87144,1.237666300558705e+18,57.3844209200938,-0.192984609309979,20.61559,20.22933,19.8074,19.74259,19.87284,4849,301,3,838,1.7215609301033551e+18,QSO,1.06025,1529,52930,218
87465,1.237661355935138e+18,189.403958295168,46.2228794118357,23.24628,21.51341,20.868,20.66903,20.13174,3698,301,1,190,7.470484527238109e+18,STAR,0.000120175,6635,56370,504
52909,1.237664673795343e+18,211.448769926943,34.9373764996842,23.60143,22.02101,20.17514,19.33353,18.88698,4470,301,5,159,4.343884381909441e+18,GALAXY,0.4839697,3858,55273,591
17667,1.2376515043445312e+18,205.973957068309,-0.0823659396981839,23.64483,20.87767,19.10559,18.49146,18.18201,1404,301,3,47,3.367845627911475e+17,GALAXY,0.3295046,299,51671,511
79604,1.2376619711956913e+18,208.366853852674,6.59891063051218,20.02169,18.13731,16.97814,16.50104,16.10771,3841,301,3,289,2.032288979281275e+18,GALAXY,0.1415346,1805,53875,144
58224,1.237655124476166e+18,193.126232084418,4.16241219108608,19.43228,17.97456,17.16131,16.73784,16.43408,2247,301,2,216,9.536405603321385e+17,GALAXY,0.1254858,847,52426,12
57029,1.23766502651134e+18,172.705036208943,35.5763172198765,22.7628,21.34106,19.5567,18.87328,18.39458,4552,301,6,34,5.199422356427397e+18,GALAXY,0.4536662,4618,55600,60
16121,1.237678598632899e+18,12.7484884663081,3.53236546778683,25.05053,22.39171,20.78495,19.66902,19.18317,7712,301,6,414,4.84938650637542e+18,GALAXY,0.5516616,4307,55531,493
34734,1.2376613618356065e+18,204.771292139772,45.9382851521452,23.37173,21.2182,19.45143,18.63505,18.18505,3699,301,4,112,1.64954869347021e+18,GALAXY,0.4744506,1465,53082,383
87907,1.2376514957613468e+18,127.27628855638,51.9064321969435,21.58287,19.93238,18.35524,17.13082,16.41219,1402,301,3,150,8.230532940473588e+18,STAR,-4.023156e-05,7310,56693,744
66591,1.237664854183314e+18,221.541451998847,32.4650348105846,22.06425,20.93701,20.48303,20.14185,19.60353,4512,301,5,149,4.356285498681219e+18,STAR,-0.0003931479,3869,55273,650
27798,1.2376788906685893e+18,26.1708957127555,-1.40053606293548,20.52179,20.26444,20.17809,20.11244,20.0801,7780,301,6,77,8.831703847070356e+18,QSO,0.856653,7844,56982,527
19842,1.2376786174372744e+18,44.3539404450656,0.684773222476136,23.83459,22.08713,20.54911,19.61656,19.21478,7717,301,1,626,4.776308564624169e+18,GALAXY,0.528966,4242,55476,877
5803,1.2376788584735703e+18,4.53098603821752,11.9929876987697,22.5475,22.35231,21.95989,21.92382,21.46543,7773,301,2,340,1.3021249169150728e+19,QSO,1.145444,11565,58507,788
89429,1.237664289929167e+18,186.689978993257,14.403828326966,22.31437,20.79996,19.09417,18.47371,18.1427,4381,301,2,106,6.077620992125196e+18,GALAXY,0.3091919,5398,56011,48
21986,1.2376551250047142e+18,174.027443099202,4.58514923934498,22.65476,21.85633,20.73526,19.77351,19.4845,2247,301,3,89,5.367221030770465e+18,QSO,0.5145396,4767,55946,204
72197,1.2376543991634335e+18,219.967866763231,59.9593708583285,23.55961,22.85273,21.48423,20.38606,19.44241,2078,301,3,214,9.471284833110217e+18,GALAXY,0.7158693,8412,58172,781
87146,1.2376623051186506e+18,222.020343240205,34.9672318631816,24.37118,22.68986,20.95415,19.89715,19.3341,3919,301,1,125,5.312033244778355e+18,GALAXY,0.6118193,4718,56014,136
80698,1.2376529479978844e+18,21.064545162172,-9.20797083368295,19.27393,17.92155,17.19877,16.75522,16.5158,1740,301,4,161,7.443523658632663e+17,GALAXY,0.1061487,661,52163,482
64078,1.2376682966016983e+18,204.749166845492,17.7032060432124,19.33024,18.16558,17.74244,17.48129,17.32534,5314,301,1,181,2.935342898247396e+18,GALAXY,0.06178046,2607,54184,443
17443,1.2376655317191232e+18,231.162569388156,19.6950383577931,19.98106,19.59492,19.48931,19.18095,19.14787,4670,301,3,221,2.4308493075664343e+18,QSO,0.5538223,2159,54328,114
8413,1.2376591316731167e+18,220.454727138261,48.7008585294176,22.22736,21.45094,21.28726,21.2462,21.88573,3180,301,2,101,9.494887487992257e+18,QSO,1.435211,8433,57488,631
92315,1.237668494701167e+18,159.533803829595,15.2097606901169,23.22268,22.158,20.48817,19.52165,18.9261,5360,301,2,91,6.020276238006113e+18,GALAXY,0.5294508,5347,56008,325
91737,1.2376793228610112e+18,34.265500360794,-4.62731047384695,21.96786,22.20339,21.78362,21.79481,21.55114,7881,301,3,250,8.147159995919915e+18,QSO,1.351376,7236,56605,539
47428,1.2376791693030853e+18,16.5107204530259,17.7017212071309,23.54993,21.18343,20.69349,20.64135,20.60561,7845,301,5,54,5.769168396152494e+18,QSO,2.082102,5124,55894,208
24887,1.2376582061143493e+18,157.992101497919,47.8504937565857,19.63174,16.91095,15.53685,14.88952,14.31308,2964,301,6,203,1.0821446106098176e+18,STAR,-9.563937e-05,961,52615,563
55066,1.2376570700913713e+18,41.1277548299514,-0.444511735803714,23.23627,22.53287,21.96882,20.99263,20.76909,2700,301,2,140,1.055089254998346e+19,GALAXY,0.8708382,9371,58073,307
98226,1.2376653309166223e+18,159.67452636171,30.5279420469315,20.68032,20.6304,20.57658,20.20597,20.07378,4623,301,5,26,1.281734803656621e+19,QSO,1.803488,11384,58522,376
85660,1.2376613575362478e+18,158.450158924789,44.359243291638,17.96886,16.80735,16.15913,15.80523,15.55324,3698,301,4,45,1.609063024524552e+18,GALAXY,0.111647,1429,52990,553
85144,1.2376637831185044e+18,348.290768475681,-0.732336233524605,21.8574,21.33612,21.37388,21.37416,20.92894,4263,301,2,37,1.0306584638697787e+19,QSO,2.415038,9154,58013,352
56456,1.237663783678706e+18,41.5114617896877,-0.321251164601053,20.86026,18.95937,18.11362,17.73421,17.43376,4263,301,3,393,1.7575891790777815e+18,GALAXY,0.07638785,1561,53032,216
76953,1.2376802677427405e+18,336.987845218402,17.5289304631921,25.97289,22.16818,20.4576,19.56635,19.22461,8101,301,3,81,5.664571585409079e+18,GALAXY,0.5104319,5031,56209,615
85903,1.237663783125844e+18,4.96641331891523,-0.639686336335662,22.11016,19.40675,17.92289,17.2228,16.79326,4263,301,2,149,4.391669662430269e+17,STAR,8.715931e-05,390,51900,240
33452,1.237673706113729e+18,111.041073884446,40.9879852752186,19.3314,18.16389,17.97734,17.90912,17.88451,6573,301,5,192,1.1997717637373385e+19,STAR,-4.876613e-06,10656,58163,466
27546,1.2376593313839846e+18,236.548331523773,48.2791253671528,22.04097,21.55495,19.55857,18.7485,18.20033,3226,301,6,23,7.576455458745244e+18,GALAXY,0.4622717,6729,56419,1000
69233,1.2376802425277647e+18,8.27287117923878,-7.4253675022236,25.56171,21.51259,19.63504,18.97137,18.63219,8095,301,4,355,8.053705085988131e+18,GALAXY,0.3625278,7153,56904,520
54245,1.2376529340354399e+18,322.554424542182,-8.25698841944837,20.97743,18.77603,17.37382,16.87185,16.56583,1737,301,2,103,7.217846150433606e+17,GALAXY,0.2122933,641,52176,301
40796,1.2376576279114555e+18,159.944590310366,48.5259741667543,26.30553,24.11005,21.69444,20.69233,19.73319,2830,301,1,311,8.317088425745602e+18,GALAXY,0.7017903,7387,57038,239
88180,1.2376640928989844e+18,129.699314743273,25.1402788573079,23.48183,20.65882,19.17612,18.22964,17.73789,4335,301,3,128,3.5443788919153377e+18,STAR,3.602995e-05,3148,54802,167
18194,1.2376593270957015e+18,230.410089000954,51.9200799204227,19.39828,17.63631,16.65068,16.21957,15.86801,3225,301,6,125,1.3118490838030356e+18,GALAXY,0.1315821,1165,52703,639
35205,1.2376619685030792e+18,182.481537452373,43.495274726333,21.00421,20.42733,20.3351,20.38643,20.137,3840,301,6,163,7.473773716272601e+18,QSO,2.646036,6638,56370,182
27185,1.2376650254403505e+18,180.546875430628,35.2900258853089,20.25311,20.24697,20.04034,20.05963,20.35702,4552,301,4,76,1.153498651952286e+19,QSO,1.22974,10245,58161,516
38825,1.2376655365381164e+18,232.506981283239,23.6407844331717,21.29012,20.83601,20.50972,20.55023,20.46412,4671,301,4,25,4.4518407625446743e+18,GALAXY,0.01734713,3954,55680,118
6176,1.2376546042538885e+18,164.412488099711,3.63788102135877,19.92054,18.16321,17.42186,17.13118,16.96539,2126,301,1,302,3.650301720426291e+18,STAR,0.0002660554,3242,54889,488
32430,1.237664853641724e+18,209.093253481087,35.2491247416203,18.27237,16.74837,15.93096,15.49635,15.21113,4512,301,4,77,2.0695134883503409e+18,QSO,0.09818859,1838,53467,398
52641,1.237679998241211e+18,356.784628145569,-2.02075742676645,26.5467,21.35799,19.52472,18.72249,18.34376,8038,301,5,198,4.904653463345191e+18,GALAXY,0.4524286,4356,55829,849
95827,1.2376610552816607e+18,49.4628396701164,41.4508207228506,16.70151,14.67453,13.68613,13.15358,12.74563,3628,301,1,102,1.8746882660080287e+18,GALAXY,0.01460003,1665,52976,236
16251,1.2376648804938547e+18,159.945637070281,35.9934075200663,18.84771,17.52426,16.80544,16.35453,16.0747,4518,301,6,208,2.3600259005331804e+18,QSO,0.08392099,2096,53446,508
63691,1.2376623378652206e+18,239.542671370627,33.5106237214352,21.70377,21.44957,21.1049,20.92675,21.45878,3926,301,6,86,1.2296121796093303e+19,QSO,2.308998,10921,58251,614
