obj_ID,alpha,delta,u,g,r,i,z,run_ID,rerun_ID,cam_col,field_ID,spec_obj_ID,class,redshift,plate,MJD,fiber_ID,a,b,c
1.2376570700892083e+18,36.1045274860105,-0.46343863412936,22.2763,21.2764,19.89443,19.10633,18.80666,2700,301,2,107,4.0702560683533496e+18,GALAXY,0.5399575,3615,55179,465,-0.021276876983303196,-0.8942675484416447,-0.4470266729290413
1.2376570700892083e+18,36.1843850721353,-0.570908741178961,21.10878,20.21294,19.1086,18.72186,18.28938,2700,301,2,107,7.55506637170567e+17,GALAXY,0.3098973,671,52206,101,0.04715278303154122,-0.84008797751057,-0.5403968958965072
1.2376576284489807e+18,161.715741745924,49.4450251948216,21.95001,21.25988,21.41098,20.72602,19.3279,2830,301,2,321,8.320572779637528e+18,GALAXY,0.2302484,7390,57130,627,-0.051963839966772556,-0.6799039501487678,-0.7314577075320278
1.237671939263365e+18,238.272538512512,60.4304346381893,24.33053,20.73237,20.00467,19.79232,19.72585,6162,301,2,67,7.639468471273936e+18,STAR,-0.0004476581,6785,56487,864,-0.6519908154932367,0.34651159237748486,-0.6744165573742121
1.237667142857917e+18,119.939461714885,15.4762392943678,19.94889,18.38505,17.23578,16.71007,16.35251,5045,301,4,56,2.5513926047218007e+18,GALAXY,0.1950059,2266,53679,376,-0.8251567006936427,-0.5161149597040628,0.2296557590613736
1.2376786174341284e+18,37.2412797443075,0.899930603564658,19.82046,18.70177,18.43481,18.33342,18.31671,7717,301,1,578,7.633820001473157e+18,STAR,-0.0005641218,6780,56267,795,0.5576408751579242,-0.27477843739032315,0.7832837702253486
1.237659331383395e+18,234.991496094357,49.2025580605474,25.0001,24.71972,22.34801,20.81903,19.84421,3226,301,6,14,9.490398738566631e+18,GALAXY,0.6860332,8429,57893,685,-0.3935447222587749,0.2857072032466084,-0.8737814060709148
1.2376785975479508e+18,347.137419891307,2.71325598018093,22.17253,21.73794,21.52853,20.93229,21.02015,7712,301,4,243,1.2718279288497132e+19,QSO,1.690922,11296,58425,414,-0.007794153901063178,-0.9096244926016561,0.41535831955571345
1.2376793217879247e+18,35.797706392541,-5.55029730843763,21.46764,22.2272,21.81949,20.9404,20.31936,7881,301,1,260,9.147972868789e+18,GALAXY,1.029611,8125,56955,131,-0.24127173891586204,-0.7029947660391344,0.6690189137252391
1.237651737374491e+18,195.837735949682,3.25389240414803,19.42153,17.85324,17.07555,16.69907,16.42781,1458,301,5,474,5.900977541522657e+17,GALAXY,0.07276948,524,52027,459,-0.48666672484268847,-0.8663701231572756,-0.11206385961289304
1.2376613865457592e+18,249.987248332335,32.6370397378707,25.14611,23.25719,21.60558,20.40158,19.74303,3705,301,2,327,1.2288102233258877e+19,GALAXY,0.738187,10914,58257,111,0.07831605825168189,-0.33352877176462065,0.9394813214881405
1.237651755078386e+18,167.03036238728,3.40185779032104,19.65425,19.20237,19.0039,19.01337,18.81535,1462,301,6,278,5.338098811981289e+18,QSO,2.217945,4741,55704,754,0.8357200326785035,0.4851286578257,-0.25733676833300695
1.2376583000559457e+18,124.285655417722,4.14344660542365,18.15868,16.82936,16.11033,15.76341,15.47473,2986,301,5,38,1.3331655895684485e+18,GALAXY,0.07486749,1184,52641,364,-0.10319825715675175,0.5287649213302051,-0.8424712325595877
1.237658187314824e+18,84.7899817660674,-0.34695158448714,21.85866,19.04264,17.60702,16.28225,15.57963,2960,301,3,65,1.401774584327334e+18,STAR,2.97483e-05,1245,53770,106,-0.9399010156987462,0.03104670391280312,-0.3400326202949006
1.2376651011373135e+18,214.151760332772,30.5335328731526,20.61869,18.53846,17.34015,16.86768,16.55301,4570,301,1,48,2.397112716138408e+18,GALAXY,0.168337,2129,54252,261,0.550233889426812,0.31757579861778434,-0.7722617943796776
1.237663783143211e+18,44.718732377073,-0.797784065503382,21.19602,20.00269,20.00953,20.0591,20.08414,4263,301,2,414,3.58490304302977e+18,STAR,-0.0006675281,3184,54850,137,0.5173438146097445,0.4690103859110669,-0.7158104744920896
1.23765547289215e+18,243.659389324329,44.386875806333,20.25681,18.39033,17.45192,17.06524,16.71983,2328,301,3,14,9.16542488540375e+17,GALAXY,0.1003684,814,52443,218,0.16996238352798143,-0.9034196456898286,0.39363146719635106
1.2376619674263224e+18,173.362623332832,42.0266766032619,20.57269,18.59499,17.55154,17.10858,16.73921,3840,301,4,117,1.6248127050492416e+18,GALAXY,0.129432,1443,53055,506,0.3150240259831705,0.2041621510466407,-0.9268644340643153
1.23765707009183e+18,42.2010179867224,-0.485336365257505,20.63408,19.20617,18.51065,18.19799,17.98301,2700,301,2,147,1.7575644400661563e+18,GALAXY,0.02441009,1561,53032,126,-0.18480422475507569,-0.8649969001444563,-0.4665059069863501
1.237667211590108e+18,151.398537910449,25.7482850895969,24.70739,23.60133,22.31866,22.34085,20.89866,5061,301,4,250,1.0839123751758748e+19,GALAXY,0.9731428,9627,58132,310,0.6728879112452885,0.46241544190592465,0.577402648060174
1.2376613607641585e+18,211.33587226989,43.6226720169255,24.05437,22.11757,20.64362,19.55531,19.27678,3699,301,2,147,6.817446358976584e+18,GALAXY,0.5269095,6055,56102,445,-0.6183505803672154,-0.7027037071159372,-0.3519233720073832
1.2376786222402117e+18,29.4421388349231,3.99034771101876,23.77019,22.59222,22.53081,22.69344,21.55517,7718,301,2,185,1.0612795605221925e+19,GALAXY,1.329141,9426,58123,229,0.25919339872435987,0.6079731071903756,-0.7504581820401421
1.2376529469192271e+18,9.67922265937487,-10.5847543146933,20.27913,18.51267,17.67657,17.35493,17.09965,1740,301,2,86,7.375216498589306e+17,GALAXY,0.1287744,655,52162,208,0.386503062619841,0.10052242094745854,0.9167936657025643
1.2376794334441638e+18,358.788506132582,-3.67743595768511,21.14275,20.26575,20.07685,19.99558,19.84567,7907,301,1,63,7.918670209002787e+18,QSO,2.940555,7033,56565,786,-0.6860906218158271,-0.5182679666907469,0.510566326111124
1.2376803139147533e+18,27.4205856867438,29.6276082520957,21.02963,21.31127,21.14213,20.96331,20.40154,8112,301,1,98,8.710221293734352e+18,GALAXY,0.0,7736,57728,944,0.1418226747259066,-0.16266702533827615,-0.9764352348216375
1.2376785980937997e+18,7.52618875255325,3.26442958918242,21.42885,21.02341,20.52487,20.59163,20.52107,7712,301,5,380,9.84827354735682e+18,QSO,1.055445,8747,57401,98,-0.31952829634847224,-0.9396214633195095,-0.12252825593285208
1.2376637852772595e+18,14.0200088702265,0.857392061921535,19.26216,18.99417,19.02277,18.95411,18.89231,4263,301,6,209,1.057571100177651e+19,QSO,0.694382,9393,58100,484,0.07649433259380253,0.6499255569292058,0.7561384711356052
1.2376646695078464e+18,152.031447330611,35.8257134255248,20.57939,18.70012,17.54999,17.05457,16.7061,4469,301,5,273,2.1967432001719112e+18,GALAXY,0.1587582,1951,53389,409,-0.09819897944972893,-0.28136095241232223,-0.9545642853640935
1.2376576069613655e+18,125.436304460874,37.5144703964365,21.08846,20.93559,20.9081,20.53482,20.53682,2825,301,2,126,9.972283066612474e+18,QSO,1.71852,8857,57449,682,0.9576952095775559,-0.22161474885806115,-0.18359408661713417
1.2376789202034363e+18,357.091553643167,12.8822841389676,21.14859,20.28658,20.02717,19.93353,19.82408,7787,301,5,183,6.918754813355514e+18,STAR,-0.0003335986,6145,56266,363,0.47294041810725795,-0.8245012085018276,0.31068491772140744
1.237655109444305e+18,152.854621265218,56.7685462726232,18.41507,17.2726,16.82524,16.52581,16.2928,2243,301,6,224,1.0652206492675215e+18,GALAXY,0.04633698,946,52407,434,-0.45703535050654337,0.8622912819210028,0.21811105774443154
1.2376794597533947e+18,22.8372281863594,18.502220726471,25.05489,23.0395,21.59506,21.18314,20.55538,7913,301,2,102,8.158353299504126e+18,GALAXY,0.4687064,7246,56625,300,-0.6233356701107785,-0.7039779904796661,-0.34039334788999276
1.2376786007695035e+18,2.65531463684914,17.0199037938925,26.33816,21.7569,19.89272,19.0643,18.64448,7713,301,2,248,6.880468719031835e+18,GALAXY,0.4740236,6111,56270,343,0.22630165248852058,-0.1196268324784132,-0.9666834968241397
1.2376637890244777e+18,111.188071065357,43.2447872572812,20.28515,19.65154,19.35507,19.02928,18.85023,4264,301,5,43,2.0998940915369516e+18,QSO,1.640315,1865,53312,330,-0.2457597238608236,-0.6981527395740635,-0.6724469572784768
1.2376517363042232e+18,203.702181022024,2.21871552781801,27.12773,22.75538,20.68245,19.66587,19.42719,1458,301,3,527,4.554534322972154e+18,GALAXY,0.5240293,4045,55622,979,0.5292575563272959,-0.2900572665071798,0.7973413454831263
1.2376607653714327e+18,123.171866301821,25.8750642231293,20.47375,19.97891,19.94506,19.95413,19.83449,3560,301,5,103,1.2521160493355e+19,QSO,2.239711,11121,58438,100,-0.5867445294446847,-0.4458169610894059,0.6760015490897509
1.237660962399912e+18,131.611672715754,31.1686012112556,19.99721,17.92748,16.76797,16.2922,15.93646,3606,301,4,55,1.4289223370754232e+18,GALAXY,0.1467623,1269,52937,565,0.9156027995747829,-0.3189652297691314,-0.24481155121673714
1.237653442987688e+18,357.100528009351,-8.83530102328985,17.81824,16.7052,16.31695,16.19374,16.148,1855,301,6,82,2.602098793398692e+18,STAR,-0.0001390112,2311,54331,524,-0.4200444485766671,0.7172925455123279,-0.5559263128980032
1.2376613865364524e+18,229.85064405928,47.4102688243219,21.7119,21.26126,21.08325,21.19637,20.86976,3705,301,2,185,7.582056370423486e+18,QSO,1.352614,6734,56386,896,0.835140937005449,0.4719579845474924,-0.2824805766057722
1.2376639162735004e+18,141.455265994567,65.6150404293457,19.64007,18.13849,17.44905,17.09127,16.77489,4294,301,2,205,2.1133260197871224e+18,GALAXY,0.1142755,1877,54464,43,0.9331871475008057,0.07819349060865832,0.3507813076059542
1.237665566075126e+18,226.373817788535,19.2661964550807,18.99122,17.55082,16.7046,16.24318,15.89558,4678,301,3,164,3.1436467567602176e+18,GALAXY,0.09671067,2792,54556,488,0.8998188136659835,0.16294651665214804,0.4046906661682146
1.2376637890258537e+18,112.838592716813,46.0448076558598,21.55104,20.2867,19.82398,19.60179,19.36035,4264,301,5,64,7.190164586737457e+18,QSO,2.63821,6386,56325,610,-0.45642134834909526,0.12080370172383488,0.8815248257542226
1.237664854183838e+18,222.784635123692,31.9546185149904,23.46338,21.83949,20.36412,19.13192,18.74379,4512,301,5,157,4.3573588969078354e+18,GALAXY,0.5658262,3870,55273,459,-0.8276375130509247,0.2276689276314077,0.513013651262854
1.237665026515403e+18,184.09634660563,36.1660334032314,26.0177,22.32205,20.54662,19.47447,18.98647,4552,301,6,96,5.193997640782862e+18,GALAXY,0.5759117,4613,55591,805,-0.011617449160050197,0.03587477337831539,-0.9992887648272987
1.2376737383253284e+18,109.567464606236,29.8686384350952,19.92999,18.75244,18.68653,18.66577,18.7473,6581,301,1,182,3.5578451604255293e+18,STAR,0.0001893921,3160,54793,5,-0.021756323009367473,0.008899286683489702,-0.9997236943804209
1.2376593244209807e+18,250.001262370621,34.7856997609707,24.39482,22.00873,20.4474,18.90064,18.06322,3225,301,1,272,1.5077485218418135e+18,STAR,-6.187311e-05,1339,52767,613,-0.23593500714519328,0.9450744335829536,-0.22620563076823938
1.2376551244708577e+18,180.968748834734,4.21221754859995,20.6924,18.68706,17.5006,16.98456,16.59458,2247,301,2,135,9.468859846691656e+17,GALAXY,0.1604188,841,52375,15,-0.15411923187218293,0.454136961919894,-0.8775003602194685
1.237662336261751e+18,252.755211583722,22.1054254606337,19.24437,17.84476,17.15234,16.77283,16.56017,3926,301,3,195,1.5932336287357604e+18,GALAXY,0.1179339,1415,52885,310,-0.14158066802219826,-0.983337407309715,-0.11402832028840909
1.237657627892581e+18,115.767017782229,23.0388653070089,22.52899,21.63074,21.52146,21.23156,20.98784,2830,301,1,23,1.2501047127987e+19,QSO,0.9195678,11103,58488,656,0.44495019331442265,-0.22708993078349252,-0.8662848773966948
1.2376529334977823e+18,320.746253939423,-8.45538942935359,19.67838,17.63075,16.54655,16.09391,15.69743,1737,301,1,91,7.206446967659172e+17,GALAXY,0.1205991,640,52200,250,-0.5398931925077299,-0.16926104153686736,-0.824539896246183
1.2376623373286126e+18,239.751466811714,32.9189730582367,23.85279,26.21762,22.69427,21.07411,19.54151,3926,301,5,90,1.2296051702227e+19,GALAXY,0.9386613,10921,58251,359,0.03712113417746074,0.0566130628709921,0.9977058597150485
1.2376637884928494e+18,119.731850983542,53.808629370114,21.58465,20.10609,19.8751,19.70786,19.99973,4264,301,4,123,6.69358994938268e+18,STAR,-9.15277e-05,5945,56213,418,-0.8642293695782292,-0.3167717047914198,-0.3908494387893557
1.2376613607652728e+18,214.734352084899,42.5751270693188,23.00161,21.64594,20.07536,19.22152,18.8502,3699,301,2,164,6.822057160836667e+18,GALAXY,0.4453937,6059,56093,835,0.07300958868292998,0.1456195683063635,-0.9866430668112038
1.2376672110495667e+18,142.794105183862,22.7548914389534,22.40577,21.63441,20.60844,19.74394,19.54434,5061,301,3,194,6.517949289590969e+18,GALAXY,0.4984436,5789,56246,417,0.10676110800540589,0.714318273480143,-0.6916295757049475
1.237678600765244e+18,352.561536308643,16.635349874091,23.35083,21.85159,20.8734,19.8769,19.78409,7713,301,2,183,6.908794886268672e+18,GALAXY,0.6213913,6136,56206,993,-0.45762616222791,-0.3879311348277445,-0.8000548295434587
1.237657070087898e+18,33.2177969747633,-0.426501891409358,24.8367,22.75175,20.91093,19.74516,19.27188,2700,301,2,87,4.769418475059041e+18,GALAXY,0.6151849,4236,55479,387,-0.20850696251103726,0.8862203963625417,-0.41368859744430997
1.2376634631454067e+18,353.600728402364,1.16507520266783,20.64049,18.7562,17.73484,17.29932,16.92138,4188,301,6,67,1.2318799508443238e+18,GALAXY,0.09978386,1094,52524,529,-0.0673778863886365,0.38888772580030856,0.9188180217799736
1.2376711232286886e+18,146.500278084041,13.1149612704594,20.50977,19.35494,18.85241,18.62476,18.59484,5972,301,2,206,5.987767527044045e+18,STAR,0.0004230188,5318,55983,843,-0.3449780885558852,0.7804122591089101,0.5214852100001064
1.2376717679990543e+18,229.179870696903,57.9143940006671,25.3665,22.09465,20.69348,19.79517,19.49469,6122,301,3,29,7.644966853090236e+18,GALAXY,0.4898618,6790,56430,387,-0.201150513359322,0.031717548720400654,0.9790467139408876
1.2376517373903503e+18,232.025495964783,2.52836816793221,19.69697,18.49436,17.85507,17.48729,17.29202,1458,301,5,716,3.3260087317700547e+18,GALAXY,0.09305454,2954,54561,365,-0.7355408635198388,0.3574504816841772,0.5755074206613147
1.2376788589909115e+18,319.225922922334,8.69326737658843,21.72821,19.68781,19.00372,18.46772,18.21941,7773,301,3,42,4.596108227729709e+18,STAR,4.227533e-05,4082,55367,672,-0.25815457150107307,0.6979538203020453,0.6679945223868812
1.237665443130049e+18,204.540045459637,29.497778696674,22.38201,21.95944,20.593,19.64428,19.23491,4649,301,6,139,7.308248562349136e+18,GALAXY,0.6767624,6491,56337,117,0.3213146590583365,0.11240536746823193,-0.9402775777601828
1.237664877804782e+18,148.425354250803,30.6464517925634,23.03679,21.99078,21.88016,21.93864,21.58805,4518,301,1,136,1.281168060247155e+19,QSO,2.476393,11379,58438,238,-0.5154083231806379,-0.5002749133730667,-0.6957580552503102
1.2376623019018816e+18,226.058217849009,44.3710917203741,22.25552,22.01545,21.82009,21.67541,21.13591,3918,301,3,193,9.55891039436776e+18,STAR,-0.0006710014,8490,57104,73,0.9167651146429939,-0.12587777320145038,0.3790732261548718
1.2376646743269706e+18,196.836238098786,37.788623888361,21.54471,20.26032,18.57252,17.97172,17.60233,4470,301,6,79,2.2720861418490693e+18,GALAXY,0.3591494,2018,53800,73,-0.46583671398063325,0.8803437546547914,0.08939255868376289
1.2376785814431995e+18,9.69273712478173,25.8310428585534,23.61969,21.91835,20.33577,19.53593,18.93081,7708,301,6,264,7.075382994249472e+18,GALAXY,0.4896261,6284,56310,829,-0.738601461085284,-0.20279205623423943,0.6429177736001492
1.2376570700922885e+18,43.169490605581,-0.514346848026134,21.15018,20.58304,20.03462,19.94151,19.81473,2700,301,2,154,1.203593091181734e+18,GALAXY,0.251482,1069,52590,22,0.5985150539900524,-0.6322569725787475,-0.4919663106075879
1.2376697627957663e+18,332.650298343039,6.38017675104732,22.42072,21.88556,21.11476,19.83921,19.52078,5655,301,4,175,4.984496703883467e+18,GALAXY,0.6991099,4427,56107,501,0.9320149929411252,-0.34924228713408484,0.0968394434634344
1.237668337400546e+18,247.58721463791,12.7083254379647,26.6328,22.04461,20.14032,19.31597,18.88245,5323,301,5,130,4.578112797087652e+18,GALAXY,0.4592627,4066,55444,741,-0.8178127903540985,0.5578226074740344,0.14147854439494617
1.237680242524029e+18,359.654862416641,-7.39244016697288,19.72329,17.61038,16.56762,16.08588,15.70683,8095,301,4,298,8.046883160557115e+18,GALAXY,0.117848,7147,56574,278,0.025590707046204614,0.44459292458687505,-0.8953671018750714
1.237661212044493e+18,217.135162589009,45.7512632216525,19.4732,17.91041,17.06734,16.67704,16.39842,3664,301,5,49,1.449043396357286e+18,GALAXY,0.1028892,1287,52728,37,0.18388688239017079,0.07032403181097972,0.9804285517235164
1.2376802629283348e+18,4.1073101230475,-8.01151200527387,21.83434,19.33265,17.95414,17.4163,17.04915,8100,301,2,347,8.049064042189576e+18,GALAXY,0.2292398,7149,56593,20,0.08923736385383091,0.12902679505133363,-0.9876177292106497
1.2376639162675366e+18,123.374241047215,55.2790094556366,24.57909,21.72319,20.5964,19.51089,19.06796,4294,301,2,114,5.099405830341809e+18,STAR,0.0001629067,4529,55563,746,-0.1952812189706775,-0.22325115807221982,-0.9549995633175645
1.237678889600156e+18,38.3863421251351,-1.92471820407351,21.19584,20.96955,20.62744,20.60392,20.48339,7780,301,4,158,8.814853831861229e+18,QSO,1.026335,7829,57011,667,-0.26790788040883107,-0.2198694040688212,-0.9380206888812576
1.2376675492682135e+18,157.296622152958,21.4968598098681,21.42702,19.68608,18.27638,17.69165,17.30569,5140,301,1,41,6.612602668673423e+18,GALAXY,0.2101099,5873,56035,700,-0.8596631729970218,-0.18952174609981431,0.4744056668590396
1.237680311234e+18,12.9293861663903,32.3368273135567,24.07974,22.81233,21.53308,20.07915,19.33478,8111,301,4,153,8.69103344737926e+18,STAR,-0.0002291878,7719,58082,771,0.56566883452979,0.21486906190445737,0.7961470064491906
1.237661354318234e+18,186.40296888238,58.3661074480708,23.6511,21.88422,21.69401,21.28307,21.00317,3697,301,6,94,9.272951907537934e+18,QSO,0.8093178,8236,58500,146,0.12169333942694358,0.21166031624686935,0.9697374086139989
1.2376637825937577e+18,15.885367149415,-1.1037765485289,19.40684,18.66134,18.45513,18.15265,18.08929,4263,301,1,222,7.802602181299014e+17,GALAXY,0.06564931,693,52254,42,-0.4431609623985601,-0.07945375545606656,-0.8929140284203791
1.2376556914001843e+18,214.897551221161,-2.92140175156524,24.56215,22.18669,20.93575,20.02653,19.56774,2379,301,2,38,4.539743137950882e+18,GALAXY,0.5363855,4032,55333,417,-0.28982562475273344,-0.9318237994224203,-0.21841591990203643
1.2376648740398712e+18,117.615485051154,15.7026265461781,25.86789,22.41307,20.73571,19.74916,19.34292,4517,301,2,32,5.061028751414155e+18,GALAXY,0.5954147,4495,55566,395,0.19301760283146216,0.9811807808290564,0.005336696438729416
1.2376648176784512e+18,187.569636518433,36.4578856819804,26.7704,22.22242,19.91031,19.04527,18.46934,4504,301,1,185,4.46421988274211e+18,GALAXY,0.5289232,3965,55302,97,0.1945369893697716,-0.25864232320615493,-0.9461815409388773
1.23766077288874e+18,168.435745705773,43.4981439783733,21.17332,20.76974,20.29243,20.28313,21.02854,3562,301,3,120,9.412528843787622e+18,GALAXY,0.2107039,8360,57452,20,0.3122333650703987,-0.8281655764467917,-0.4654590247544551
1.237654383588344e+18,136.094571426204,52.8355113083566,21.85276,21.45148,21.346,21.05623,21.24408,2074,301,6,125,8.206827475583654e+18,QSO,1.657139,7289,57039,520,0.45010799464381096,0.7104773766620733,0.5409479553608695
1.2376654410016364e+18,248.593993780421,13.5142579627842,20.32078,19.81091,19.75998,19.70918,19.5713,4649,301,2,430,2.4805271601257124e+18,QSO,0.7593964,2203,53915,617,-0.5354722284738938,-0.2315714759173069,0.8121847967517505
1.2376683325699528e+18,232.015955834503,12.3602864118907,21.12478,20.80195,19.67194,19.54709,19.60816,5322,301,4,149,3.100824072091625e+18,STAR,-0.0002448637,2754,54240,348,0.8762642918427588,-0.4362201867181523,-0.20462854038693837
1.2376546026448486e+18,167.595278585065,5.74836016247079,20.62318,18.72775,17.50068,17.01704,16.65879,2125,301,6,326,6.543029165422285e+17,GALAXY,0.1520297,581,52356,564,-0.39724064408957577,-0.7631614204508513,-0.5096906091137425
1.2376549505244209e+18,241.33437333597,54.6277360562003,24.2806,21.79079,20.16246,19.29823,18.81387,2206,301,6,131,7.648353348903785e+18,GALAXY,0.4670955,6793,56430,419,0.2891145300535223,-0.1846047781657281,-0.9393262821779839
1.2376609629365212e+18,130.720565655127,31.2559065666291,20.81899,20.57924,20.16622,19.97892,19.9298,3606,301,5,51,3.3326863407634447e+18,GALAXY,0.5071033,2960,54561,82,0.3333839598330201,-0.929229015003586,-0.15933792078949877
1.2376582044981663e+18,142.653830712185,41.222885570325,24.52292,22.43259,20.65683,19.64231,19.26083,2964,301,3,118,5.224396394148944e+18,GALAXY,0.5225694,4640,55927,803,0.2641078922331226,0.8894711883364641,-0.3729450715313124
1.237661137963385e+18,163.328610131539,40.3997885638671,20.1733,17.98786,16.90853,16.47371,16.11237,3647,301,3,157,1.6157216670430267e+18,GALAXY,0.1280566,1435,52996,201,-0.9038320719615098,0.03093022213617601,0.42676797800722
1.237665024364774e+18,175.473690183573,34.1042054546307,22.28051,22.03969,21.80414,21.40874,21.021,4552,301,2,48,1.1554224680883e+19,GALAXY,0.6961495,10262,58543,872,-0.8073403700248094,0.39547941363243505,0.4379469834593557
1.2376611368901673e+18,164.974370266152,39.8573802150656,19.5041,18.15057,17.37959,16.94639,16.66818,3647,301,1,165,1.6156749377988465e+18,GALAXY,0.1095113,1435,52996,31,0.02258308686416217,-0.5537984056178097,0.832344478039506
1.237661360766321e+18,217.68594124207,41.8454442163859,22.00389,21.50123,21.28987,21.4093,21.51633,3699,301,2,180,9.572615538775183e+18,QSO,0.8601341,8502,57512,780,0.32658981097671647,0.42540013556627354,-0.8440224049315213
1.2376613618339023e+18,199.26535431903,46.6361663769339,24.30131,21.03926,19.38387,18.68426,18.1893,3699,301,4,86,7.458235418200528e+18,GALAXY,0.4192467,6624,56385,998,0.19776352595993016,0.860981216804228,0.4686159750906994
1.2376648740460956e+18,130.202793781899,23.3629369666812,21.23257,20.28969,20.54507,20.61016,20.6844,4517,301,2,127,3.7977935095666847e+18,STAR,-0.0002455583,3373,54940,484,0.03408990681753981,0.1947356151113435,-0.9802631883633998
1.2376795043121728e+18,343.640471206988,19.2301113856566,26.09653,21.74456,21.76722,22.36622,22.01529,7923,301,5,79,5.660119937857116e+18,QSO,0.02341211,5027,56218,804,-0.33047950409892746,-0.8676510865755681,0.3714362520470548
1.2376529463803904e+18,5.13515977753745,-10.9660769850397,19.63472,18.64393,18.32735,18.25148,18.2107,1740,301,1,56,2.1539246428326728e+18,STAR,-0.0004960553,1913,53321,284,-0.012100659928572774,0.02689632990008416,0.9995649861150594
1.237651540320518e+18,170.434302239455,67.9145047171705,17.13475,15.65394,15.1383,14.94128,14.87669,1412,301,6,133,3.2179212401445704e+18,STAR,-9.718635e-05,2858,54498,361,0.25513056862332995,0.2566150353303743,-0.9322323297313428
1.2376562422349834e+18,334.509029953679,13.1891593441909,24.05835,22.29595,20.60607,19.65432,19.14367,2507,301,4,118,5.675661801725123e+18,GALAXY,0.5008268,5041,55749,1,0.05728756930569348,0.8102322064104956,0.5833025853690564
1.2376712622736678e+18,136.004351908319,12.533880794434,25.16784,21.3405,19.67999,18.82919,18.41505,6004,301,5,136,5.965142326456375e+18,GALAXY,0.4613787,5298,55979,453,-0.6087811044392509,-0.7926729147946037,-0.03248410424735355
1.2376651285254643e+18,137.092295686591,25.2353012074803,22.38224,22.75058,22.41942,21.44115,21.00802,4576,301,4,166,1.0812073291814296e+19,GALAXY,0.8782368,9603,58132,205,0.4174047583955795,-0.9029349626081377,0.10238027626730059
1.2376515397997696e+18,243.881180375234,52.4984797497505,23.94876,21.89834,20.2689,19.44431,19.18356,1412,301,5,379,7.106721827389725e+18,GALAXY,0.5292106,6312,56487,151,-0.24381704296833664,0.5644455931275921,0.7886408700777667
1.2376625295266286e+18,207.900688744697,13.5314295090658,23.83711,22.13163,20.8371,19.81563,19.60948,3971,301,3,63,6.12850391634073e+18,GALAXY,0.6374331,5443,56010,839,0.48373432946452954,0.3003024190272371,0.8220824506239577
1.237665566608261e+18,217.518981441273,21.8057056710228,23.37691,22.53629,20.75921,19.69899,19.18051,4678,301,4,107,6.643007738728438e+18,GALAXY,0.5654051,5900,56043,721,0.7197542986476008,0.6692959573713625,0.18438186197305767
